PM2.5: 95.00 | PM10: 115.36
PM2.5: 210.44 | PM10: 177.90
PM2.5: 120.08 | PM10: 229.62
PM2.5: 159.81 | PM10: 155.19
PM2.5: 123.60 | PM10: 3.42
BLE Notify: 130.63#125.56
PM2.5: 181.22 | PM10: 23.26
PM2.5: 86.70 | PM10: 67.72
PM2.5: 230.42 | PM10: 159.94
PM2.5: 125.93 | PM10: 245.82
PM2.5: 186.06 | PM10: 194.73
PM2.5: 92.15 | PM10: 7.50
PM2.5: 149.65 | PM10: 136.99
PM2.5: 79.77 | PM10: 119.03
PM2.5: 71.75 | PM10: 80.80
PM2.5: 146.28 | PM10: 176.86
PM2.5: 198.29 | PM10: 273.54
PM2.5: 27.15 | PM10: 183.49
BLE Notify: 131.28#139.14
PM2.5: 101.25 | PM10: 160.96
PM2.5: 241.07 | PM10: 293.53
PM2.5: 289.94 | PM10: 39.87
PM2.5: 288.47 | PM10: 130.50
PM2.5: 280.77 | PM10: 35.84
PM2.5: 116.32 | PM10: 226.70
PM2.5: 264.52 | PM10: 14.15
PM2.5: 96.09 | PM10: 91.39
PM2.5: 6.07 | PM10: 12.27
PM2.5: 95.56 | PM10: 77.87
PM2.5: 89.56 | PM10: 145.99
PM2.5: 208.36 | PM10: 284.39
BLE Notify: 173.16#126.12
PM2.5: 186.75 | PM10: 29.75
PM2.5: 212.13 | PM10: 79.16
PM2.5: 62.66 | PM10: 257.80
PM2.5: 222.04 | PM10: 199.54
PM2.5: 156.99 | PM10: 124.64
PM2.5: 293.77 | PM10: 181.36
PM2.5: 174.46 | PM10: 103.06
PM2.5: 176.35 | PM10: 280.41
PM2.5: 106.73 | PM10: 53.45
PM2.5: 263.85 | PM10: 182.42
PM2.5: 77.75 | PM10: 96.13
PM2.5: 199.82 | PM10: 243.06
BLE Notify: 177.77#152.57
PM2.5: 211.84 | PM10: 224.87
PM2.5: 113.39 | PM10: 160.19
PM2.5: 215.77 | PM10: 272.04
PM2.5: 152.82 | PM10: 118.23
PM2.5: 76.86 | PM10: 255.23
PM2.5: 80.10 | PM10: 282.97
PM2.5: 182.41 | PM10: 250.88
PM2.5: 200.38 | PM10: 58.39
PM2.5: 185.62 | PM10: 14.08
PM2.5: 298.30 | PM10: 119.98
PM2.5: 40.22 | PM10: 142.88
PM2.5: 101.19 | PM10: 129.63
BLE Notify: 154.91#169.11
PM2.5: 222.36 | PM10: 190.30
PM2.5: 74.98 | PM10: 192.40
PM2.5: 163.61 | PM10: 125.94
PM2.5: 44.42 | PM10: 23.59
PM2.5: 234.60 | PM10: 107.32
PM2.5: 277.65 | PM10: 273.77
PM2.5: 183.65 | PM10: 160.18
PM2.5: 54.34 | PM10: 66.13
PM2.5: 224.84 | PM10: 284.34
PM2.5: 206.96 | PM10: 64.80
PM2.5: 294.41 | PM10: 293.47
PM2.5: 45.17 | PM10: 160.50
BLE Notify: 168.92#161.90
PM2.5: 7.19 | PM10: 18.36
PM2.5: 63.83 | PM10: 58.79
PM2.5: 226.13 | PM10: 77.30
PM2.5: 60.04 | PM10: 15.32
PM2.5: 202.55 | PM10: 137.56
PM2.5: 251.07 | PM10: 17.73
PM2.5: 133.89 | PM10: 120.99
PM2.5: 183.49 | PM10: 194.80
PM2.5: 214.04 | PM10: 7.79
PM2.5: 64.29 | PM10: 191.22
PM2.5: 117.77 | PM10: 126.60
PM2.5: 117.73 | PM10: 253.14
BLE Notify: 136.84#101.63
PM2.5: 299.48 | PM10: 266.21
PM2.5: 215.34 | PM10: 1.74
PM2.5: 95.35 | PM10: 99.68
PM2.5: 119.50 | PM10: 182.01
PM2.5: 6.42 | PM10: 285.55
PM2.5: 45.19 | PM10: 123.08
PM2.5: 12.96 | PM10: 260.24
PM2.5: 255.69 | PM10: 157.86
PM2.5: 163.27 | PM10: 154.72
PM2.5: 42.43 | PM10: 46.42
PM2.5: 158.76 | PM10: 61.03
PM2.5: 146.09 | PM10: 239.29
BLE Notify: 130.04#156.49
PM2.5: 182.81 | PM10: 125.70
PM2.5: 258.22 | PM10: 34.55
PM2.5: 154.40 | PM10: 284.94
PM2.5: 7.82 | PM10: 272.27
PM2.5: 96.34 | PM10: 146.14
PM2.5: 277.42 | PM10: 145.44
PM2.5: 249.81 | PM10: 0.68
PM2.5: 132.16 | PM10: 48.93
PM2.5: 140.10 | PM10: 85.50
PM2.5: 2.13 | PM10: 208.90
PM2.5: 79.41 | PM10: 91.08
PM2.5: 161.72 | PM10: 118.09
BLE Notify: 145.20#130.18
PM2.5: 212.52 | PM10: 49.98
PM2.5: 204.69 | PM10: 153.41
PM2.5: 280.70 | PM10: 115.32
PM2.5: 234.92 | PM10: 287.08
PM2.5: 167.49 | PM10: 15.24
PM2.5: 142.38 | PM10: 80.71
PM2.5: 95.47 | PM10: 236.79
PM2.5: 102.86 | PM10: 242.76
PM2.5: 100.42 | PM10: 155.55
PM2.5: 145.15 | PM10: 14.28
PM2.5: 65.42 | PM10: 55.61
PM2.5: 168.40 | PM10: 166.77
BLE Notify: 160.04#131.12
PM2.5: 22.19 | PM10: 98.46
PM2.5: 226.94 | PM10: 123.50
PM2.5: 287.25 | PM10: 94.22
PM2.5: 298.72 | PM10: 91.47
PM2.5: 202.81 | PM10: 194.94
PM2.5: 281.60 | PM10: 87.81
PM2.5: 38.96 | PM10: 99.98
PM2.5: 214.40 | PM10: 217.95
PM2.5: 277.35 | PM10: 130.89
PM2.5: 102.71 | PM10: 205.30
PM2.5: 154.15 | PM10: 16.53
PM2.5: 122.07 | PM10: 261.79
BLE Notify: 185.76#135.24
PM2.5: 120.67 | PM10: 17.85
PM2.5: 135.10 | PM10: 161.43
PM2.5: 198.26 | PM10: 296.60
PM2.5: 128.94 | PM10: 1.87
PM2.5: 227.96 | PM10: 278.70
PM2.5: 68.62 | PM10: 156.59
PM2.5: 76.56 | PM10: 14.82
PM2.5: 284.26 | PM10: 275.40
PM2.5: 0.94 | PM10: 72.64
PM2.5: 67.31 | PM10: 222.46
PM2.5: 154.12 | PM10: 22.30
PM2.5: 7.06 | PM10: 262.77
BLE Notify: 122.48#148.62
PM2.5: 230.16 | PM10: 238.40
PM2.5: 103.92 | PM10: 181.06
PM2.5: 116.98 | PM10: 110.66
PM2.5: 126.55 | PM10: 118.38
PM2.5: 286.42 | PM10: 297.30
PM2.5: 197.95 | PM10: 116.15
PM2.5: 153.43 | PM10: 4.50
PM2.5: 161.36 | PM10: 226.83
PM2.5: 37.97 | PM10: 185.93
PM2.5: 142.67 | PM10: 150.72
PM2.5: 80.95 | PM10: 186.84
PM2.5: 137.77 | PM10: 20.75
BLE Notify: 148.01#153.13
PM2.5: 241.79 | PM10: 34.91
PM2.5: 283.76 | PM10: 293.65
PM2.5: 55.72 | PM10: 4.80
PM2.5: 30.88 | PM10: 70.80
PM2.5: 263.83 | PM10: 88.16
PM2.5: 60.84 | PM10: 270.61
PM2.5: 54.94 | PM10: 72.42
PM2.5: 9.58 | PM10: 224.66
PM2.5: 110.80 | PM10: 140.45
PM2.5: 230.34 | PM10: 3.48
PM2.5: 176.05 | PM10: 65.84
PM2.5: 227.16 | PM10: 217.57
BLE Notify: 145.47#123.95
PM2.5: 233.61 | PM10: 91.10
PM2.5: 248.56 | PM10: 155.58
PM2.5: 288.78 | PM10: 70.00
PM2.5: 117.14 | PM10: 183.48
PM2.5: 229.92 | PM10: 101.55
PM2.5: 98.36 | PM10: 222.39
PM2.5: 245.93 | PM10: 228.61
PM2.5: 41.34 | PM10: 240.40
PM2.5: 134.10 | PM10: 88.89
PM2.5: 183.64 | PM10: 75.57
PM2.5: 146.19 | PM10: 254.91
PM2.5: 89.73 | PM10: 192.25
BLE Notify: 171.44#158.73
PM2.5: 76.20 | PM10: 150.92
PM2.5: 156.24 | PM10: 81.99
PM2.5: 157.27 | PM10: 78.09
PM2.5: 191.07 | PM10: 112.11
PM2.5: 47.73 | PM10: 100.02
PM2.5: 226.45 | PM10: 288.37
PM2.5: 67.77 | PM10: 219.17
PM2.5: 251.48 | PM10: 198.97
PM2.5: 121.81 | PM10: 266.03
PM2.5: 36.65 | PM10: 172.51
PM2.5: 10.23 | PM10: 251.30
PM2.5: 66.92 | PM10: 296.78
BLE Notify: 117.49#184.69
PM2.5: 89.76 | PM10: 15.47
PM2.5: 217.85 | PM10: 166.01
PM2.5: 113.47 | PM10: 80.99
PM2.5: 18.23 | PM10: 202.30
PM2.5: 159.43 | PM10: 263.95
PM2.5: 259.77 | PM10: 228.58
PM2.5: 297.32 | PM10: 225.51
PM2.5: 185.48 | PM10: 112.29
PM2.5: 256.19 | PM10: 194.78
PM2.5: 269.60 | PM10: 75.92
PM2.5: 255.42 | PM10: 93.94
PM2.5: 235.82 | PM10: 83.28
BLE Notify: 196.53#145.25
PM2.5: 114.47 | PM10: 134.54
PM2.5: 242.01 | PM10: 297.57
PM2.5: 279.16 | PM10: 53.58
PM2.5: 183.47 | PM10: 71.40
PM2.5: 103.57 | PM10: 228.54
PM2.5: 183.20 | PM10: 246.79
PM2.5: 73.52 | PM10: 96.73
PM2.5: 299.04 | PM10: 172.52
PM2.5: 64.60 | PM10: 178.87
PM2.5: 71.27 | PM10: 214.85
PM2.5: 268.93 | PM10: 291.40
PM2.5: 202.73 | PM10: 7.23
BLE Notify: 173.83#166.17
PM2.5: 5.10 | PM10: 156.82
PM2.5: 159.37 | PM10: 161.41
PM2.5: 237.27 | PM10: 73.00
PM2.5: 283.65 | PM10: 259.09
PM2.5: 202.86 | PM10: 70.35
PM2.5: 57.80 | PM10: 253.16
PM2.5: 261.62 | PM10: 59.73
PM2.5: 169.73 | PM10: 53.73
PM2.5: 133.87 | PM10: 288.03
PM2.5: 177.78 | PM10: 168.28
PM2.5: 235.96 | PM10: 114.45
PM2.5: 247.34 | PM10: 272.19
BLE Notify: 181.03#160.85
PM2.5: 183.70 | PM10: 282.35
PM2.5: 152.44 | PM10: 91.24
PM2.5: 207.52 | PM10: 142.99
PM2.5: 222.58 | PM10: 132.21
PM2.5: 204.41 | PM10: 112.56
PM2.5: 93.16 | PM10: 191.38
PM2.5: 227.02 | PM10: 198.16
PM2.5: 279.05 | PM10: 230.28
PM2.5: 114.86 | PM10: 185.96
PM2.5: 203.56 | PM10: 156.37
PM2.5: 189.26 | PM10: 178.62
PM2.5: 247.37 | PM10: 36.23
BLE Notify: 193.74#161.53
PM2.5: 138.50 | PM10: 107.95
PM2.5: 208.96 | PM10: 155.29
PM2.5: 286.54 | PM10: 16.05
PM2.5: 29.62 | PM10: 121.25
PM2.5: 35.97 | PM10: 24.27
PM2.5: 35.82 | PM10: 179.47
PM2.5: 11.71 | PM10: 2.76
PM2.5: 162.87 | PM10: 40.62
PM2.5: 18.19 | PM10: 163.53
PM2.5: 160.77 | PM10: 24.26
PM2.5: 184.89 | PM10: 90.00
PM2.5: 166.45 | PM10: 171.77
BLE Notify: 120.02#91.43
PM2.5: 173.33 | PM10: 81.18
PM2.5: 159.14 | PM10: 151.44
PM2.5: 60.39 | PM10: 224.06
PM2.5: 101.81 | PM10: 20.15
PM2.5: 20.09 | PM10: 27.02
PM2.5: 54.25 | PM10: 127.80
PM2.5: 14.53 | PM10: 240.98
PM2.5: 265.50 | PM10: 225.32
PM2.5: 262.43 | PM10: 254.43
PM2.5: 145.56 | PM10: 29.99
PM2.5: 177.81 | PM10: 192.58
PM2.5: 50.55 | PM10: 215.39
BLE Notify: 123.78#149.19
PM2.5: 243.48 | PM10: 212.04
PM2.5: 219.98 | PM10: 222.58
PM2.5: 134.59 | PM10: 213.23
PM2.5: 11.16 | PM10: 248.61
PM2.5: 145.84 | PM10: 156.89
PM2.5: 36.69 | PM10: 276.68
PM2.5: 81.82 | PM10: 16.82
PM2.5: 212.08 | PM10: 12.99
PM2.5: 251.52 | PM10: 108.42
PM2.5: 264.72 | PM10: 169.71
PM2.5: 118.90 | PM10: 273.23
PM2.5: 186.15 | PM10: 284.23
BLE Notify: 158.91#182.95
PM2.5: 170.67 | PM10: 271.39
PM2.5: 56.26 | PM10: 72.28
PM2.5: 51.58 | PM10: 172.08
PM2.5: 227.32 | PM10: 34.75
PM2.5: 130.01 | PM10: 202.73
PM2.5: 166.19 | PM10: 0.46
PM2.5: 250.98 | PM10: 183.89
PM2.5: 40.89 | PM10: 140.82
PM2.5: 160.82 | PM10: 81.09
PM2.5: 130.73 | PM10: 4.52
PM2.5: 52.26 | PM10: 188.57
PM2.5: 181.45 | PM10: 168.03
BLE Notify: 134.93#126.72
PM2.5: 190.02 | PM10: 247.10
PM2.5: 27.10 | PM10: 214.65
PM2.5: 223.04 | PM10: 245.05
PM2.5: 239.22 | PM10: 177.97
PM2.5: 53.88 | PM10: 2.20
PM2.5: 84.93 | PM10: 18.60
PM2.5: 217.50 | PM10: 178.71
PM2.5: 297.48 | PM10: 19.27
PM2.5: 10.69 | PM10: 45.30
PM2.5: 256.80 | PM10: 271.74
PM2.5: 114.58 | PM10: 279.26
PM2.5: 281.64 | PM10: 280.64
BLE Notify: 166.41#165.04
PM2.5: 290.69 | PM10: 215.73
PM2.5: 247.82 | PM10: 35.87
PM2.5: 3.82 | PM10: 118.97
PM2.5: 138.43 | PM10: 241.55
PM2.5: 229.02 | PM10: 193.88
PM2.5: 130.08 | PM10: 165.47
PM2.5: 36.24 | PM10: 267.98
PM2.5: 29.23 | PM10: 46.68
PM2.5: 200.92 | PM10: 0.58
PM2.5: 268.92 | PM10: 99.18
PM2.5: 54.92 | PM10: 19.23
PM2.5: 20.90 | PM10: 42.67
BLE Notify: 137.58#120.65
PM2.5: 261.68 | PM10: 273.70
PM2.5: 81.93 | PM10: 285.93
PM2.5: 163.33 | PM10: 85.42
PM2.5: 13.83 | PM10: 118.81
PM2.5: 240.83 | PM10: 189.53
PM2.5: 155.03 | PM10: 211.22
PM2.5: 65.25 | PM10: 34.35
PM2.5: 249.07 | PM10: 177.78
PM2.5: 299.01 | PM10: 101.38
PM2.5: 101.80 | PM10: 246.44
PM2.5: 129.37 | PM10: 269.65
PM2.5: 193.41 | PM10: 6.40
BLE Notify: 162.88#166.72
PM2.5: 298.94 | PM10: 59.27
PM2.5: 225.42 | PM10: 102.92
PM2.5: 256.62 | PM10: 96.00
PM2.5: 167.12 | PM10: 186.75
PM2.5: 246.33 | PM10: 144.31
PM2.5: 259.94 | PM10: 292.43
PM2.5: 45.52 | PM10: 43.85
PM2.5: 99.45 | PM10: 144.05
PM2.5: 62.99 | PM10: 168.97
PM2.5: 298.08 | PM10: 241.65
PM2.5: 79.23 | PM10: 68.69
PM2.5: 230.75 | PM10: 105.27
BLE Notify: 189.20#137.85
PM2.5: 150.96 | PM10: 171.68
PM2.5: 219.42 | PM10: 200.41
PM2.5: 257.27 | PM10: 104.07
PM2.5: 81.71 | PM10: 167.58
PM2.5: 121.33 | PM10: 221.63
PM2.5: 295.70 | PM10: 151.86
PM2.5: 50.96 | PM10: 262.47
PM2.5: 33.49 | PM10: 117.33
PM2.5: 97.98 | PM10: 297.13
PM2.5: 71.84 | PM10: 116.01
PM2.5: 233.39 | PM10: 209.70
PM2.5: 187.88 | PM10: 98.17
BLE Notify: 150.16#176.50
PM2.5: 135.54 | PM10: 224.17
PM2.5: 112.64 | PM10: 12.39
PM2.5: 182.31 | PM10: 138.72
PM2.5: 271.07 | PM10: 2.31
PM2.5: 48.36 | PM10: 76.88
PM2.5: 260.02 | PM10: 83.95
PM2.5: 66.12 | PM10: 7.96
PM2.5: 41.35 | PM10: 100.92
PM2.5: 225.82 | PM10: 282.98
PM2.5: 163.37 | PM10: 265.80
PM2.5: 200.66 | PM10: 237.91
PM2.5: 278.80 | PM10: 104.06
BLE Notify: 165.51#128.17
PM2.5: 269.09 | PM10: 91.49
PM2.5: 216.00 | PM10: 158.38
PM2.5: 26.45 | PM10: 246.18
PM2.5: 229.45 | PM10: 220.13
PM2.5: 215.34 | PM10: 156.59
PM2.5: 219.13 | PM10: 249.96
PM2.5: 94.39 | PM10: 243.74
PM2.5: 192.14 | PM10: 242.12
PM2.5: 10.35 | PM10: 47.66
PM2.5: 220.80 | PM10: 251.83
PM2.5: 208.94 | PM10: 218.27
PM2.5: 242.92 | PM10: 277.63
BLE Notify: 178.75#200.33
PM2.5: 155.36 | PM10: 33.29
PM2.5: 190.55 | PM10: 261.30
PM2.5: 49.52 | PM10: 249.95
PM2.5: 97.01 | PM10: 2.57
PM2.5: 217.80 | PM10: 243.06
PM2.5: 59.39 | PM10: 285.35
PM2.5: 95.21 | PM10: 136.48
PM2.5: 231.79 | PM10: 194.93
PM2.5: 170.40 | PM10: 231.03
PM2.5: 189.96 | PM10: 170.92
PM2.5: 75.37 | PM10: 191.31
PM2.5: 81.01 | PM10: 263.21
BLE Notify: 134.45#188.62
PM2.5: 263.00 | PM10: 199.00
PM2.5: 47.38 | PM10: 62.15
PM2.5: 202.83 | PM10: 43.92
PM2.5: 50.45 | PM10: 165.58
PM2.5: 162.51 | PM10: 61.23
PM2.5: 139.95 | PM10: 1.44
PM2.5: 50.61 | PM10: 188.68
PM2.5: 3.98 | PM10: 213.46
PM2.5: 297.47 | PM10: 211.40
PM2.5: 221.36 | PM10: 194.43
PM2.5: 150.73 | PM10: 264.35
PM2.5: 193.62 | PM10: 174.77
BLE Notify: 148.66#148.37
PM2.5: 95.81 | PM10: 274.30
PM2.5: 128.00 | PM10: 30.18
PM2.5: 216.17 | PM10: 253.52
PM2.5: 167.93 | PM10: 70.82
PM2.5: 291.10 | PM10: 252.99
PM2.5: 46.45 | PM10: 84.56
PM2.5: 8.09 | PM10: 279.75
PM2.5: 259.61 | PM10: 230.90
PM2.5: 92.67 | PM10: 153.75
PM2.5: 104.31 | PM10: 62.68
PM2.5: 65.52 | PM10: 128.33
PM2.5: 217.90 | PM10: 163.84
BLE Notify: 141.13#165.47
PM2.5: 255.16 | PM10: 212.78
PM2.5: 253.24 | PM10: 81.43
PM2.5: 209.42 | PM10: 293.15
PM2.5: 137.73 | PM10: 250.50
PM2.5: 247.33 | PM10: 63.43
PM2.5: 88.24 | PM10: 244.30
PM2.5: 5.14 | PM10: 2.21
PM2.5: 250.01 | PM10: 47.96
PM2.5: 19.26 | PM10: 48.97
PM2.5: 38.08 | PM10: 275.21
PM2.5: 57.33 | PM10: 166.95
PM2.5: 5.16 | PM10: 158.15
BLE Notify: 130.51#153.75
PM2.5: 183.21 | PM10: 74.76
PM2.5: 193.01 | PM10: 62.88
PM2.5: 273.40 | PM10: 141.46
PM2.5: 94.13 | PM10: 219.59
PM2.5: 129.22 | PM10: 89.66
PM2.5: 127.94 | PM10: 264.66
PM2.5: 211.68 | PM10: 124.95
PM2.5: 136.23 | PM10: 99.48
PM2.5: 28.15 | PM10: 194.80
PM2.5: 166.85 | PM10: 205.74
PM2.5: 116.57 | PM10: 37.88
PM2.5: 256.08 | PM10: 10.97
BLE Notify: 159.71#127.24
PM2.5: 181.38 | PM10: 195.38
PM2.5: 224.11 | PM10: 140.69
PM2.5: 175.05 | PM10: 237.64
PM2.5: 290.48 | PM10: 81.45
PM2.5: 72.34 | PM10: 13.09
PM2.5: 210.40 | PM10: 230.53
PM2.5: 228.83 | PM10: 101.94
PM2.5: 70.60 | PM10: 267.19
PM2.5: 131.85 | PM10: 298.23
PM2.5: 205.72 | PM10: 43.25
PM2.5: 68.96 | PM10: 6.84
PM2.5: 148.90 | PM10: 125.72
BLE Notify: 167.38#145.16
PM2.5: 90.36 | PM10: 5.97
PM2.5: 257.69 | PM10: 197.92
PM2.5: 80.29 | PM10: 229.20
PM2.5: 51.17 | PM10: 183.28
PM2.5: 64.28 | PM10: 249.42
PM2.5: 51.20 | PM10: 172.22
PM2.5: 145.95 | PM10: 239.02
PM2.5: 122.48 | PM10: 40.06
PM2.5: 106.44 | PM10: 133.90
PM2.5: 29.77 | PM10: 206.32
PM2.5: 61.56 | PM10: 55.81
PM2.5: 216.88 | PM10: 9.79
BLE Notify: 106.51#143.58
PM2.5: 58.95 | PM10: 284.73
PM2.5: 6.81 | PM10: 255.76
PM2.5: 261.19 | PM10: 14.15
PM2.5: 4.56 | PM10: 33.93
PM2.5: 40.35 | PM10: 173.06
PM2.5: 168.91 | PM10: 289.87
PM2.5: 283.18 | PM10: 262.05
PM2.5: 143.77 | PM10: 64.91
PM2.5: 225.56 | PM10: 100.52
PM2.5: 127.63 | PM10: 103.08
PM2.5: 184.93 | PM10: 45.84
PM2.5: 136.99 | PM10: 116.64
BLE Notify: 136.90#145.38
PM2.5: 40.12 | PM10: 15.87
PM2.5: 121.11 | PM10: 7.64
PM2.5: 226.05 | PM10: 55.99
